"product_name","product_url","product_instock","product_price"
"Smart Light Bulb Alexa LED Color Changing Light Bulbs,TECKIN A19 E27 60W 800LM Equivalent Compatible with Google Home,IFTTT,2800K-6000K Cold and Warm Light WiFi Blubs(7.5W),2pack","https://www.amazon.com/Changing-TECKIN-Equivalent-Compatible-2800K-6000K/dp/B07ZJHKC8W/ref=sr_1_20?keywords=smart+light&qid=1581539632&sr=8-20","In Stock.","24."
"Amazon Smart Plug, works with Alexa – A Certified for Humans Device","https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/dp/B01MZEEFNX/ref=sr_1_21?keywords=smart+light&qid=1581539632&sr=8-21","In Stock.","24."
"OHLUX Smart WiFi LED Light Bulbs Compatible with Alexa Google Home and IFTTT(No Hub Required), RGBCW Multi-Color, Warm to Cool White Dimmable, 60W Equivalent, 7W E26 A19 Color Changing Bulb-4PACK","https://www.amazon.com/OHLUX-Compatible-Equivalent-Multi-Color-Bulb-4PACK/dp/B07LCB3HQJ/ref=sr_1_22?keywords=smart+light&qid=1581539632&sr=8-22","In Stock.","39."
"Smart Light Bulb with Soft White Light 2800k-6200k + RGBW, TECKIN A19 WiFi Multicolor LED Bulb Compatible with Phone, Google Home, 8w (60w Equivalent),2 Pack","https://www.amazon.com/Dimmable-Multicolor-Compatible-TECKIN-Equivalent/dp/B07GT2Q5RW/ref=sr_1_23?keywords=smart+light&qid=1581539632&sr=8-23","In Stock.","23."
"Smart WiFi Light Bulb, LUMIMAN LED RGBCW Color Changing, Compatible with Alexa, Siri and Google Home Assistant, No Hub Required, A19 E26 Multicolor 4 Pack","https://www.amazon.com/LUMIMAN-Changing-Compatible-Assistant-Multicolor/dp/B07XYXY5QR/ref=sr_1_24?keywords=smart+light&qid=1581539632&sr=8-24","In Stock.","39."
"TECKIN Smart Light Bulb LED RGB Color Changing,A19 E27 60W 800LM Equivalent Compatible with Alexa Google Home,IFTTT,2800K-6000K Cold and Warm Light WiFi Blubs(7.5W),4pack","https://www.amazon.com/TECKIN-Changing-Equivalent-Compatible-2800K-6000K/dp/B07ZJHGQZ2/ref=sr_1_25?keywords=smart+light&qid=1581539632&sr=8-25","In Stock.","39."
"Dusk to Dawn Light Bulb Sensor Smart LED Outdoor Lighting Bulbs Lamp 7W E26/E27 Automatic On/Off, Indoor/Outdoor Yard Porch Patio Garden (Warm White, 3 Pack)","https://www.amazon.com/Sensor-Outdoor-Lighting-Automatic-Indoor/dp/B077SQ95ZW/ref=sr_1_26?keywords=smart+light&qid=1581539632&sr=8-26","In Stock.","21."
"Philips Hue White and Color Ambiance LightStrip Plus Dimmable LED Smart Light (Requires Hue Hub, Works with Alexa, HomeKit & Google Assistant)","https://www.amazon.com/Philips-Ambiance-LightStrip-Compatible-Assistant/dp/B0167H33DU/ref=sr_1_27?keywords=smart+light&qid=1581539632&sr=8-27","In Stock.","79."
"WeMo Smart Light Switch 2ND Gen","https://www.amazon.com/WeMo-Smart-Light-Switch-2ND/dp/B07RT8H9WH/ref=sr_1_28?keywords=smart+light&qid=1581539632&sr=8-28","In Stock.","39."
"Kasa Smart WiFi Plug by TP-Link – Smart Plug, No Hub Required, Works with Alexa and Google (HS100), white, 1 Pack","https://www.amazon.com/TP-Link-HS100-Required-Google-Assistant/dp/B0178IC734/ref=sr_1_29?keywords=smart+light&qid=1581539632&sr=8-29","In Stock.","16."
"Smart Switch, SAUDIO Smart Light Dimmer Switch for Dimmable LED/Halogen/Incandescent Bulbs, Compatible with Alexa, Google Assistant/IFTTT, Remote Control, Single-Pole, Neutral Wire Required(1 Pack)","https://www.amazon.com/SAUDIO-Incandescent-Compatible-Assistant-Single-Pole/dp/B082WR6VDJ/ref=sr_1_30?keywords=smart+light&qid=1581539632&sr=8-30","In Stock.","25."
"Smart Light Switch&Alexa Smart Double Switch& 2.4Ghz WIFI Light Switch With Timer and Remote Control,Schedule,Neutral Wire Needed,Works with Alexa, Google Assistant and IFTTT,Single Pole (2gang)","https://www.amazon.com/Switch-Double-Remote-Control-required/dp/B07QRRRTDM/ref=sr_1_31?keywords=smart+light&qid=1581539632&sr=8-31","In Stock.","36."
"Smart Light Bulbs, Aoycocr BR30 Dimmable LED Light Bulbs, 720 Lumen, Tunable White 2700K - 9000K,9 (80W Equivalent), Works with Alexa, Google Assistant, IFTTT, No Hub Required, Wi-Fi, E26 Base, 6 Pack","https://www.amazon.com/Smart-Light-Aoycocr-Dimmable-Tunable/dp/B07VP2KL7W/ref=sr_1_32?keywords=smart+light&qid=1581539632&sr=8-32","In Stock.","80."
"Smart Light Bulb WiFi Light Bulbs,TECKIN 13W E27 RGBCW Multicolor Dimmable LED Color Changing Light Bulb Equivalent 100W,1300LM BR30 Compatible with Alexa and Google Home IFTTT 2900K-6000K 2 Packs","https://www.amazon.com/TECKIN-Multicolor-Equivalent-Compatible-2900K-6000K/dp/B07Z8X6VQZ/ref=sr_1_33?keywords=smart+light&qid=1581539632&sr=8-33","In Stock.","37."
"Smart LED Light Bulb, Dimmable WiFi Smart Bulb with Warm Lights - No Hub Required, Christmas Smart Bulb Works with Alexa Echo Dot, Google Home Mini & Samsung, KHSUIN LED Smart Light Bulbs 7W (80W)","https://www.amazon.com/Smart-Light-Bulb-Dimmable-Lights/dp/B07WS6SK2X/ref=sr_1_34?keywords=smart+light&qid=1581539632&sr=8-34","In Stock.","19."
"TECKIN Smart Light Bulb,LED RGB Color Changing,E27 100W 1300LM Equivalent Compatible with Alexa and Google Home,IFTTT,2900K-6000K BR30 WiFi Light Blubs(13W),1 Pack","https://www.amazon.com/TECKIN-Changing-Equivalent-Compatible-2900K-6000K/dp/B07RZKV7FQ/ref=sr_1_35?keywords=smart+light&qid=1581539632&sr=8-35","In Stock.","19."
"Samsung SMARTBULB/GP-LBU019BBAWU / GP-LBU019BBAWU / Smart Light Bulb SmartThings Dimmable Light Bulb/SmartThings Hub Required","https://www.amazon.com/Samsung-SMARTBULB-GP-LBU019BBAWU-SmartThings-Dimmable/dp/B07Q1DLSBN/ref=sr_1_36?keywords=smart+light&qid=1581539632&sr=8-36","In Stock.","9."
"Smart Led Light Bulb, Alexa RGB Color Changing Light Bulb, TECKIN E27 A19 60W Equivalent, Compatible with Alexa, Google Home and IFTTT, Cold and Warm Light 2800K-6000K, WiFi Control Bulb (2 Packs)","https://www.amazon.com/Changing-TECKIN-Equivalent-Compatible-2800K-6000K/dp/B081JTDZXT/ref=sr_1_37?keywords=smart+light&qid=1581539632&sr=8-37","In Stock.","23."
"Kasa Smart WiFi Light Bulb, Dimmable by TP-Link – No Hub Required, Works with Alexa & Google (KL110)","https://www.amazon.com/Kasa-Smart-Light-Dimmable-TP-Link/dp/B07G1PH3JL/ref=sr_1_38?keywords=smart+light&qid=1581539632&sr=8-38","In Stock.","16."
"Smart Light Bulb Works with Alexa Google Home, NiteBird A19 E26 WiFi Multicolor Dimmable LED Lights Bulbs, 2700k + RGB, 75W Equivalent, No Hub Required, 4 Pack","https://www.amazon.com/TanTan-Smart-Bulb/dp/B07MTYVSSV/ref=sr_1_39?keywords=smart+light&qid=1581539632&sr=8-39","In Stock.","35."
